epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5056.11,0.56686,0.37223,1.21355,0.97633,0.98714,0.98658,0.87179,0.60015,0.33447,1.32569,0.000272612,0.000272612,0.000272612
61,5138.03,0.55731,0.3511,1.21575,0.98284,0.98862,0.98862,0.88725,0.57304,0.31672,1.28437,0.0002575,0.0002575,0.0002575
62,5221.78,0.55012,0.36204,1.20232,0.97754,0.98725,0.98812,0.86714,0.60719,0.34485,1.34185,0.00024269,0.00024269,0.00024269
63,5304.93,0.55082,0.3601,1.20035,0.98121,0.98665,0.98815,0.87487,0.59653,0.31358,1.31973,0.0002282,0.0002282,0.0002282
64,5386.78,0.53765,0.34362,1.18641,0.98173,0.98693,0.98955,0.87412,0.58904,0.32001,1.3116,0.000214046,0.000214046,0.000214046
65,5471.21,0.54509,0.34551,1.19463,0.98413,0.98814,0.98977,0.87674,0.59463,0.31499,1.32295,0.000200248,0.000200248,0.000200248
66,5554.1,0.53541,0.34042,1.19178,0.9827,0.98684,0.99083,0.87786,0.5957,0.31693,1.32383,0.00018682,0.00018682,0.00018682
67,5635.94,0.5412,0.33786,1.18819,0.98159,0.98682,0.98835,0.88246,0.57573,0.31983,1.2908,0.00017378,0.00017378,0.00017378
68,5720.82,0.5332,0.3296,1.19154,0.97924,0.98804,0.98958,0.87159,0.60371,0.32735,1.32352,0.000161144,0.000161144,0.000161144
69,5803.37,0.53392,0.33222,1.187,0.98519,0.98686,0.99086,0.87343,0.59213,0.32111,1.3018,0.000148927,0.000148927,0.000148927
70,5885.57,0.52184,0.33232,1.18636,0.98328,0.9882,0.9908,0.8838,0.57602,0.31923,1.28669,0.000137143,0.000137143,0.000137143
71,5970.29,0.53043,0.34099,1.19348,0.98333,0.98942,0.99036,0.88396,0.58241,0.31415,1.29356,0.000125808,0.000125808,0.000125808
72,6052.7,0.53026,0.33354,1.17626,0.97765,0.98793,0.99081,0.8836,0.57141,0.31473,1.27477,0.000114935,0.000114935,0.000114935
73,6135.6,0.51206,0.32492,1.16965,0.98541,0.98863,0.99127,0.88422,0.57105,0.3039,1.27281,0.000104537,0.000104537,0.000104537
74,6220.03,0.52148,0.3136,1.17575,0.98598,0.98662,0.99055,0.8851,0.56684,0.30884,1.2668,9.46264e-05,9.46264e-05,9.46264e-05
75,6302.18,0.52493,0.35323,1.18593,0.987,0.98633,0.99122,0.88942,0.56202,0.29652,1.26014,8.52162e-05,8.52162e-05,8.52162e-05
76,6385.67,0.51747,0.32915,1.17601,0.98399,0.98739,0.99063,0.88448,0.56206,0.29732,1.2611,7.63174e-05,7.63174e-05,7.63174e-05
77,6469.73,0.51068,0.31812,1.1726,0.98509,0.98748,0.99068,0.88644,0.56737,0.30276,1.27305,6.79409e-05,6.79409e-05,6.79409e-05
78,6552.32,0.51985,0.32106,1.18212,0.98506,0.986,0.99113,0.88365,0.57261,0.30034,1.28313,6.00969e-05,6.00969e-05,6.00969e-05
79,6635.58,0.50719,0.31105,1.17252,0.98309,0.98505,0.99121,0.88368,0.56818,0.30025,1.27431,5.2795e-05,5.2795e-05,5.2795e-05
80,6718.89,0.49999,0.30437,1.16535,0.9853,0.98658,0.99164,0.88185,0.57585,0.30483,1.28331,4.6044e-05,4.6044e-05,4.6044e-05
81,6836.92,0.37709,0.2378,1.20146,0.97884,0.98288,0.99142,0.88264,0.57347,0.30551,1.28458,3.98522e-05,3.98522e-05,3.98522e-05
82,6923.15,0.38204,0.23369,1.2046,0.98801,0.98633,0.99135,0.88241,0.56911,0.29781,1.27637,3.4227e-05,3.4227e-05,3.4227e-05
83,7010.04,0.37191,0.2289,1.19451,0.98783,0.98339,0.99069,0.8859,0.56434,0.29483,1.26978,2.91755e-05,2.91755e-05,2.91755e-05
84,7095.45,0.3587,0.20127,1.18087,0.98827,0.98633,0.99061,0.89041,0.55887,0.29325,1.25838,2.47036e-05,2.47036e-05,2.47036e-05
85,7180.81,0.35792,0.20584,1.17202,0.98839,0.98633,0.9908,0.89046,0.55654,0.29302,1.25713,2.08169e-05,2.08169e-05,2.08169e-05
86,7265.89,0.3602,0.2027,1.17375,0.98849,0.98633,0.99166,0.89209,0.5487,0.28566,1.24431,1.75202e-05,1.75202e-05,1.75202e-05
87,7351.45,0.36249,0.20722,1.18986,0.98781,0.98633,0.99139,0.88985,0.55781,0.29512,1.25808,1.48173e-05,1.48173e-05,1.48173e-05
88,7436.15,0.37127,0.20244,1.21035,0.98827,0.98633,0.99112,0.88972,0.55427,0.29282,1.25201,1.27117e-05,1.27117e-05,1.27117e-05
89,7520.84,0.35651,0.1947,1.18365,0.98772,0.98633,0.99102,0.89035,0.55096,0.28754,1.24525,1.12058e-05,1.12058e-05,1.12058e-05
90,7605.93,0.35489,0.19541,1.1837,0.98754,0.98633,0.99104,0.89219,0.55127,0.28978,1.24734,1.03015e-05,1.03015e-05,1.03015e-05
